Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,-8.000E-02,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,1.200E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-02,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-05,
Horizontal Old Scale,2.000E-02,
Horizontal Old Position,0.000E+00,
Firmware,V1.23,
Mode,Detail,
Waveform Data,
-9.679999e-02,-8.00e-02,
-9.677999e-02,-8.00e-02,
-9.675999e-02,-8.00e-02,
-9.673999e-02,-8.00e-02,
-9.671999e-02,-8.00e-02,
-9.669999e-02,-8.00e-02,
-9.667999e-02,-8.00e-02,
-9.665999e-02,-8.00e-02,
-9.663999e-02,-8.00e-02,
-9.661999e-02,-8.00e-02,
-9.659999e-02,-8.00e-02,
-9.657999e-02,-8.00e-02,
-9.655999e-02,-8.00e-02,
-9.653999e-02,-8.00e-02,
-9.651999e-02,-8.00e-02,
-9.649999e-02,-8.00e-02,
-9.647999e-02,-8.00e-02,
-9.645999e-02,-8.00e-02,
-9.643999e-02,-8.00e-02,
-9.641999e-02,-8.00e-02,
-9.639999e-02,-8.00e-02,
-9.637999e-02,-8.00e-02,
-9.635999e-02,-8.00e-02,
-9.633999e-02,-8.00e-02,
-9.631999e-02,-8.00e-02,
-9.629999e-02,0.00e+00,
-9.627999e-02,-8.00e-02,
-9.625999e-02,0.00e+00,
-9.623999e-02,-8.00e-02,
-9.621999e-02,-8.00e-02,
-9.619999e-02,-8.00e-02,
-9.617999e-02,-8.00e-02,
-9.615999e-02,-8.00e-02,
-9.613999e-02,0.00e+00,
-9.611999e-02,0.00e+00,
-9.609999e-02,-8.00e-02,
-9.607999e-02,-8.00e-02,
-9.605999e-02,-8.00e-02,
-9.603999e-02,0.00e+00,
-9.601999e-02,0.00e+00,
-9.599999e-02,0.00e+00,
-9.597999e-02,-8.00e-02,
-9.595999e-02,-8.00e-02,
-9.593999e-02,-8.00e-02,
-9.591999e-02,0.00e+00,
-9.589999e-02,0.00e+00,
-9.587999e-02,0.00e+00,
-9.585999e-02,0.00e+00,
-9.583999e-02,0.00e+00,
-9.581999e-02,-8.00e-02,
-9.579999e-02,-8.00e-02,
-9.577999e-02,0.00e+00,
-9.575999e-02,0.00e+00,
-9.573999e-02,0.00e+00,
-9.571999e-02,-8.00e-02,
-9.569999e-02,-8.00e-02,
-9.567999e-02,0.00e+00,
-9.565999e-02,0.00e+00,
-9.563999e-02,0.00e+00,
-9.561999e-02,0.00e+00,
-9.559999e-02,0.00e+00,
-9.557999e-02,0.00e+00,
-9.555999e-02,-8.00e-02,
-9.553999e-02,-8.00e-02,
-9.551999e-02,0.00e+00,
-9.549999e-02,0.00e+00,
-9.547999e-02,0.00e+00,
-9.545999e-02,0.00e+00,
-9.543999e-02,0.00e+00,
-9.541999e-02,0.00e+00,
-9.539999e-02,0.00e+00,
-9.537999e-02,0.00e+00,
-9.535999e-02,-8.00e-02,
-9.533999e-02,0.00e+00,
-9.531999e-02,0.00e+00,
-9.529999e-02,0.00e+00,
-9.527999e-02,0.00e+00,
-9.525999e-02,0.00e+00,
-9.523999e-02,0.00e+00,
-9.521999e-02,-8.00e-02,
-9.519999e-02,0.00e+00,
-9.517999e-02,0.00e+00,
-9.515999e-02,0.00e+00,
-9.513999e-02,0.00e+00,
-9.511999e-02,0.00e+00,
-9.509999e-02,0.00e+00,
-9.507999e-02,-8.00e-02,
-9.505999e-02,0.00e+00,
-9.503999e-02,0.00e+00,
-9.501999e-02,0.00e+00,
-9.499999e-02,0.00e+00,
-9.497999e-02,0.00e+00,
-9.495999e-02,0.00e+00,
-9.493999e-02,0.00e+00,
-9.491999e-02,0.00e+00,
-9.489999e-02,0.00e+00,
-9.487999e-02,0.00e+00,
-9.485999e-02,0.00e+00,
-9.483999e-02,0.00e+00,
-9.481999e-02,0.00e+00,
-9.479999e-02,0.00e+00,
-9.477999e-02,0.00e+00,
-9.475999e-02,0.00e+00,
-9.473999e-02,0.00e+00,
-9.471999e-02,0.00e+00,
-9.469999e-02,0.00e+00,
-9.467999e-02,0.00e+00,
-9.465999e-02,0.00e+00,
-9.463999e-02,0.00e+00,
-9.461999e-02,0.00e+00,
-9.459999e-02,0.00e+00,
-9.457999e-02,0.00e+00,
-9.455999e-02,0.00e+00,
-9.453999e-02,0.00e+00,
-9.451999e-02,0.00e+00,
-9.449999e-02,0.00e+00,
-9.447999e-02,0.00e+00,
-9.445999e-02,0.00e+00,
-9.443999e-02,0.00e+00,
-9.441999e-02,0.00e+00,
-9.439999e-02,0.00e+00,
-9.437999e-02,0.00e+00,
-9.435999e-02,0.00e+00,
-9.433999e-02,0.00e+00,
-9.431999e-02,0.00e+00,
-9.429999e-02,0.00e+00,
-9.427999e-02,0.00e+00,
-9.425999e-02,0.00e+00,
-9.423999e-02,0.00e+00,
-9.421999e-02,0.00e+00,
-9.419999e-02,0.00e+00,
-9.417999e-02,0.00e+00,
-9.415999e-02,0.00e+00,
-9.413999e-02,0.00e+00,
-9.411999e-02,0.00e+00,
-9.409999e-02,0.00e+00,
-9.407999e-02,0.00e+00,
-9.405999e-02,0.00e+00,
-9.403999e-02,0.00e+00,
-9.401999e-02,0.00e+00,
-9.399999e-02,0.00e+00,
-9.397999e-02,0.00e+00,
-9.395999e-02,0.00e+00,
-9.393999e-02,0.00e+00,
-9.391999e-02,0.00e+00,
-9.389999e-02,0.00e+00,
-9.387999e-02,0.00e+00,
-9.385999e-02,0.00e+00,
-9.383999e-02,0.00e+00,
-9.381999e-02,0.00e+00,
-9.379999e-02,0.00e+00,
-9.377999e-02,0.00e+00,
-9.375999e-02,0.00e+00,
-9.373999e-02,0.00e+00,
-9.371999e-02,0.00e+00,
-9.369999e-02,0.00e+00,
-9.367999e-02,0.00e+00,
-9.365999e-02,0.00e+00,
-9.363999e-02,0.00e+00,
-9.361999e-02,0.00e+00,
-9.359999e-02,0.00e+00,
-9.357999e-02,0.00e+00,
-9.355999e-02,0.00e+00,
-9.353999e-02,0.00e+00,
-9.351999e-02,0.00e+00,
-9.349999e-02,0.00e+00,
-9.347999e-02,0.00e+00,
-9.345999e-02,0.00e+00,
-9.343999e-02,0.00e+00,
-9.341999e-02,0.00e+00,
-9.339999e-02,0.00e+00,
-9.337999e-02,0.00e+00,
-9.335999e-02,0.00e+00,
-9.333999e-02,0.00e+00,
-9.331999e-02,0.00e+00,
-9.329999e-02,0.00e+00,
-9.327999e-02,0.00e+00,
-9.325999e-02,0.00e+00,
-9.323999e-02,0.00e+00,
-9.321999e-02,0.00e+00,
-9.319999e-02,0.00e+00,
-9.317999e-02,0.00e+00,
-9.315999e-02,0.00e+00,
-9.313999e-02,0.00e+00,
-9.311999e-02,0.00e+00,
-9.309999e-02,0.00e+00,
-9.307999e-02,0.00e+00,
-9.305999e-02,0.00e+00,
-9.303999e-02,0.00e+00,
-9.301999e-02,0.00e+00,
-9.299999e-02,0.00e+00,
-9.297999e-02,0.00e+00,
-9.295999e-02,0.00e+00,
-9.293999e-02,0.00e+00,
-9.291999e-02,0.00e+00,
-9.289999e-02,0.00e+00,
-9.287999e-02,0.00e+00,
-9.285999e-02,0.00e+00,
-9.283999e-02,0.00e+00,
-9.281999e-02,0.00e+00,
-9.279999e-02,0.00e+00,
-9.277999e-02,0.00e+00,
-9.275999e-02,0.00e+00,
-9.273999e-02,0.00e+00,
-9.271999e-02,0.00e+00,
-9.269999e-02,0.00e+00,
-9.267999e-02,0.00e+00,
-9.265999e-02,0.00e+00,
-9.263999e-02,0.00e+00,
-9.261999e-02,0.00e+00,
-9.259999e-02,0.00e+00,
-9.257999e-02,0.00e+00,
-9.255999e-02,0.00e+00,
-9.253999e-02,0.00e+00,
-9.251999e-02,0.00e+00,
-9.249999e-02,0.00e+00,
-9.247999e-02,0.00e+00,
-9.245999e-02,0.00e+00,
-9.243999e-02,0.00e+00,
-9.241999e-02,0.00e+00,
-9.239999e-02,0.00e+00,
-9.237999e-02,0.00e+00,
-9.235999e-02,0.00e+00,
-9.233999e-02,0.00e+00,
-9.231999e-02,0.00e+00,
-9.229999e-02,0.00e+00,
-9.227999e-02,0.00e+00,
-9.225999e-02,0.00e+00,
-9.223999e-02,0.00e+00,
-9.221999e-02,0.00e+00,
-9.219999e-02,0.00e+00,
-9.217999e-02,0.00e+00,
-9.215999e-02,0.00e+00,
-9.213999e-02,0.00e+00,
-9.211999e-02,0.00e+00,
-9.209999e-02,0.00e+00,
-9.207999e-02,0.00e+00,
-9.205999e-02,0.00e+00,
-9.203999e-02,0.00e+00,
-9.201999e-02,0.00e+00,
-9.199999e-02,0.00e+00,
-9.197999e-02,0.00e+00,
-9.195999e-02,0.00e+00,
-9.193999e-02,0.00e+00,
-9.191999e-02,0.00e+00,
-9.189999e-02,0.00e+00,
-9.187999e-02,0.00e+00,
-9.185999e-02,0.00e+00,
-9.183999e-02,0.00e+00,
-9.181999e-02,0.00e+00,
-9.179999e-02,0.00e+00,
-9.177999e-02,0.00e+00,
-9.175999e-02,0.00e+00,
-9.173999e-02,0.00e+00,
-9.171999e-02,0.00e+00,
-9.169999e-02,0.00e+00,
-9.167999e-02,0.00e+00,
-9.165999e-02,0.00e+00,
-9.163999e-02,0.00e+00,
-9.161999e-02,0.00e+00,
-9.159999e-02,0.00e+00,
-9.157999e-02,0.00e+00,
-9.155999e-02,0.00e+00,
-9.153999e-02,0.00e+00,
-9.151999e-02,0.00e+00,
-9.149999e-02,0.00e+00,
-9.147999e-02,0.00e+00,
-9.145999e-02,0.00e+00,
-9.143999e-02,0.00e+00,
-9.141999e-02,0.00e+00,
-9.139999e-02,0.00e+00,
-9.137999e-02,0.00e+00,
-9.135999e-02,0.00e+00,
-9.133999e-02,0.00e+00,
-9.131999e-02,0.00e+00,
-9.129999e-02,0.00e+00,
-9.127999e-02,0.00e+00,
-9.125999e-02,0.00e+00,
-9.123999e-02,0.00e+00,
-9.121999e-02,0.00e+00,
-9.119999e-02,0.00e+00,
-9.117999e-02,0.00e+00,
-9.115999e-02,0.00e+00,
-9.113999e-02,0.00e+00,
-9.111999e-02,0.00e+00,
-9.109999e-02,0.00e+00,
-9.107999e-02,0.00e+00,
-9.105999e-02,0.00e+00,
-9.103999e-02,0.00e+00,
-9.101999e-02,0.00e+00,
-9.099999e-02,0.00e+00,
-9.097999e-02,0.00e+00,
-9.095999e-02,0.00e+00,
-9.093999e-02,0.00e+00,
-9.091999e-02,0.00e+00,
-9.089999e-02,0.00e+00,
-9.087999e-02,0.00e+00,
-9.085999e-02,0.00e+00,
-9.083999e-02,0.00e+00,
-9.081999e-02,0.00e+00,
-9.079999e-02,0.00e+00,
-9.077999e-02,0.00e+00,
-9.075999e-02,0.00e+00,
-9.073999e-02,0.00e+00,
-9.071999e-02,0.00e+00,
-9.069999e-02,0.00e+00,
-9.067999e-02,0.00e+00,
-9.065999e-02,0.00e+00,
-9.063999e-02,0.00e+00,
-9.061999e-02,0.00e+00,
-9.059999e-02,0.00e+00,
-9.057999e-02,0.00e+00,
-9.055999e-02,0.00e+00,
-9.053999e-02,0.00e+00,
-9.051999e-02,0.00e+00,
-9.049999e-02,0.00e+00,
-9.047999e-02,0.00e+00,
-9.045999e-02,0.00e+00,
-9.043999e-02,0.00e+00,
-9.041999e-02,0.00e+00,
-9.039999e-02,0.00e+00,
-9.037999e-02,0.00e+00,
-9.035999e-02,0.00e+00,
-9.033999e-02,0.00e+00,
-9.031999e-02,0.00e+00,
-9.029999e-02,0.00e+00,
-9.027999e-02,0.00e+00,
-9.025999e-02,0.00e+00,
-9.023999e-02,0.00e+00,
-9.021999e-02,0.00e+00,
-9.019999e-02,0.00e+00,
-9.017999e-02,0.00e+00,
-9.015999e-02,0.00e+00,
-9.013999e-02,0.00e+00,
-9.011999e-02,0.00e+00,
-9.009999e-02,0.00e+00,
-9.007999e-02,0.00e+00,
-9.005999e-02,0.00e+00,
-9.003999e-02,0.00e+00,
-9.001999e-02,0.00e+00,
-8.999999e-02,0.00e+00,
-8.997999e-02,0.00e+00,
-8.995999e-02,0.00e+00,
