Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,5019,
Trigger Level,2.240E-01,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,1.720E+00,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-4.000E-07,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-08,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,-4.000E-07,
Firmware,V1.29,
Mode,Detail,
Waveform Data,
-9.720000e-05,-7.20e-01,
-9.718000e-05,-7.20e-01,
-9.716000e-05,-7.20e-01,
-9.714000e-05,-7.20e-01,
-9.712000e-05,-7.20e-01,
-9.710000e-05,-7.20e-01,
-9.708000e-05,-7.20e-01,
-9.706000e-05,-7.60e-01,
-9.704000e-05,-7.20e-01,
-9.702000e-05,-7.20e-01,
-9.700000e-05,-7.20e-01,
-9.698000e-05,-7.20e-01,
-9.696000e-05,-7.20e-01,
-9.694000e-05,-7.60e-01,
-9.692000e-05,-7.60e-01,
-9.690000e-05,-7.60e-01,
-9.688000e-05,-7.60e-01,
-9.686000e-05,-7.60e-01,
-9.684000e-05,-7.60e-01,
-9.682000e-05,-7.60e-01,
-9.680000e-05,-7.60e-01,
-9.678000e-05,-7.60e-01,
-9.676000e-05,-7.60e-01,
-9.674000e-05,-7.60e-01,
-9.672000e-05,-7.60e-01,
-9.670000e-05,-8.00e-01,
-9.668000e-05,-7.60e-01,
-9.666000e-05,-8.00e-01,
-9.664000e-05,-8.00e-01,
-9.662000e-05,-8.00e-01,
-9.660000e-05,-8.00e-01,
-9.658000e-05,-8.00e-01,
-9.656000e-05,-8.00e-01,
-9.654000e-05,-8.00e-01,
-9.652000e-05,-8.00e-01,
-9.650000e-05,-8.00e-01,
-9.648000e-05,-8.00e-01,
-9.646000e-05,-8.00e-01,
-9.644000e-05,-8.00e-01,
-9.642000e-05,-8.00e-01,
-9.640000e-05,-8.00e-01,
-9.638000e-05,-8.40e-01,
-9.636000e-05,-8.40e-01,
-9.634000e-05,-8.40e-01,
-9.632000e-05,-8.40e-01,
-9.630000e-05,-8.40e-01,
-9.628000e-05,-8.40e-01,
-9.626000e-05,-8.40e-01,
-9.624000e-05,-8.40e-01,
-9.622000e-05,-8.40e-01,
-9.620000e-05,-8.40e-01,
-9.618000e-05,-8.40e-01,
-9.616000e-05,-8.40e-01,
-9.614000e-05,-8.80e-01,
-9.612000e-05,-8.80e-01,
-9.610000e-05,-8.80e-01,
-9.608000e-05,-8.40e-01,
-9.606000e-05,-8.80e-01,
-9.604000e-05,-8.80e-01,
-9.602000e-05,-8.80e-01,
-9.600000e-05,-8.80e-01,
-9.598000e-05,-8.80e-01,
-9.596000e-05,-8.80e-01,
-9.594000e-05,-8.80e-01,
-9.592000e-05,-8.80e-01,
-9.590000e-05,-8.80e-01,
-9.588000e-05,-8.80e-01,
-9.586000e-05,-9.20e-01,
-9.584000e-05,-9.20e-01,
-9.582000e-05,-9.20e-01,
-9.580000e-05,-9.20e-01,
-9.578000e-05,-9.20e-01,
-9.576000e-05,-9.20e-01,
-9.574000e-05,-9.20e-01,
-9.572000e-05,-9.20e-01,
-9.570000e-05,-9.20e-01,
-9.568000e-05,-9.20e-01,
-9.566000e-05,-9.20e-01,
-9.564000e-05,-9.20e-01,
-9.562000e-05,-9.20e-01,
-9.560000e-05,-9.20e-01,
-9.558000e-05,-9.20e-01,
-9.556000e-05,-9.20e-01,
-9.554000e-05,-9.60e-01,
-9.552000e-05,-9.60e-01,
-9.550000e-05,-9.60e-01,
-9.548000e-05,-9.60e-01,
-9.546000e-05,-9.60e-01,
-9.544000e-05,-9.60e-01,
-9.542000e-05,-9.60e-01,
-9.540000e-05,-9.60e-01,
-9.538000e-05,-9.60e-01,
-9.536000e-05,-9.60e-01,
-9.534000e-05,-9.60e-01,
-9.532000e-05,-9.60e-01,
-9.530000e-05,-9.60e-01,
-9.528000e-05,-9.60e-01,
-9.526000e-05,-1.00e+00,
-9.524000e-05,-1.00e+00,
-9.522000e-05,-1.00e+00,
-9.520000e-05,-9.60e-01,
-9.518000e-05,-1.00e+00,
-9.516000e-05,-1.00e+00,
-9.514000e-05,-1.00e+00,
-9.512000e-05,-1.00e+00,
-9.510000e-05,-1.00e+00,
-9.508000e-05,-1.00e+00,
-9.506000e-05,-1.00e+00,
-9.504000e-05,-1.00e+00,
-9.502000e-05,-1.00e+00,
-9.500000e-05,-1.00e+00,
-9.498000e-05,-1.00e+00,
-9.496000e-05,-1.00e+00,
-9.494000e-05,-1.00e+00,
-9.492000e-05,-1.04e+00,
-9.490000e-05,-1.04e+00,
-9.488000e-05,-1.00e+00,
-9.486000e-05,-1.04e+00,
-9.484000e-05,-1.04e+00,
-9.482000e-05,-1.04e+00,
-9.480000e-05,-1.04e+00,
-9.478000e-05,-1.04e+00,
-9.476000e-05,-1.04e+00,
-9.474000e-05,-1.04e+00,
-9.472000e-05,-1.04e+00,
-9.470000e-05,-1.04e+00,
-9.468000e-05,-1.04e+00,
-9.466000e-05,-1.04e+00,
-9.464000e-05,-1.04e+00,
-9.462000e-05,-1.04e+00,
-9.460000e-05,-1.04e+00,
-9.458000e-05,-1.04e+00,
-9.456000e-05,-1.08e+00,
-9.454000e-05,-1.08e+00,
-9.452000e-05,-1.08e+00,
-9.450000e-05,-1.08e+00,
-9.448000e-05,-1.08e+00,
-9.446000e-05,-1.08e+00,
-9.444000e-05,-1.08e+00,
-9.442000e-05,-1.08e+00,
-9.440000e-05,-1.08e+00,
-9.438000e-05,-1.08e+00,
-9.436000e-05,-1.08e+00,
-9.434000e-05,-1.08e+00,
-9.432000e-05,-1.08e+00,
-9.430000e-05,-1.08e+00,
-9.428000e-05,-1.12e+00,
-9.426000e-05,-1.08e+00,
-9.424000e-05,-1.08e+00,
-9.422000e-05,-1.12e+00,
-9.420000e-05,-1.12e+00,
-9.418000e-05,-1.12e+00,
-9.416000e-05,-1.12e+00,
-9.414000e-05,-1.12e+00,
-9.412000e-05,-1.12e+00,
-9.410000e-05,-1.12e+00,
-9.408000e-05,-1.12e+00,
-9.406000e-05,-1.12e+00,
-9.404000e-05,-1.12e+00,
-9.402000e-05,-1.12e+00,
-9.400000e-05,-1.12e+00,
-9.398000e-05,-1.12e+00,
-9.396000e-05,-1.12e+00,
-9.394000e-05,-1.16e+00,
-9.392000e-05,-1.12e+00,
-9.390000e-05,-1.16e+00,
-9.388000e-05,-1.16e+00,
-9.386000e-05,-1.16e+00,
-9.384000e-05,-1.16e+00,
-9.382000e-05,-1.16e+00,
-9.380000e-05,-1.16e+00,
-9.378000e-05,-1.16e+00,
-9.376000e-05,-1.16e+00,
-9.374000e-05,-1.16e+00,
-9.372000e-05,-1.16e+00,
-9.370000e-05,-1.16e+00,
-9.368000e-05,-1.16e+00,
-9.366000e-05,-1.16e+00,
-9.364000e-05,-1.16e+00,
-9.362000e-05,-1.20e+00,
-9.360000e-05,-1.20e+00,
-9.358000e-05,-1.16e+00,
-9.356000e-05,-1.20e+00,
-9.354000e-05,-1.20e+00,
-9.352000e-05,-1.20e+00,
-9.350000e-05,-1.20e+00,
-9.348000e-05,-1.20e+00,
-9.346000e-05,-1.20e+00,
-9.344000e-05,-1.20e+00,
-9.342000e-05,-1.20e+00,
-9.340000e-05,-1.20e+00,
-9.338000e-05,-1.20e+00,
-9.336000e-05,-1.20e+00,
-9.334000e-05,-1.20e+00,
-9.332000e-05,-1.20e+00,
-9.330000e-05,-1.20e+00,
-9.328000e-05,-1.20e+00,
-9.326000e-05,-1.24e+00,
-9.324000e-05,-1.24e+00,
-9.322000e-05,-1.24e+00,
-9.320000e-05,-1.20e+00,
-9.318000e-05,-1.24e+00,
-9.316000e-05,-1.24e+00,
-9.314000e-05,-1.24e+00,
-9.312000e-05,-1.24e+00,
-9.310000e-05,-1.24e+00,
-9.308000e-05,-1.24e+00,
-9.306000e-05,-1.24e+00,
-9.304000e-05,-1.24e+00,
-9.302000e-05,-1.24e+00,
-9.300000e-05,-1.24e+00,
-9.298000e-05,-1.24e+00,
-9.296000e-05,-1.24e+00,
-9.294000e-05,-1.24e+00,
-9.292000e-05,-1.24e+00,
-9.290000e-05,-1.24e+00,
-9.288000e-05,-1.24e+00,
-9.286000e-05,-1.24e+00,
-9.284000e-05,-1.28e+00,
-9.282000e-05,-1.28e+00,
-9.280000e-05,-1.28e+00,
-9.278000e-05,-1.28e+00,
-9.276000e-05,-1.28e+00,
-9.274000e-05,-1.28e+00,
-9.272000e-05,-1.28e+00,
-9.270000e-05,-1.28e+00,
-9.268000e-05,-1.28e+00,
-9.266000e-05,-1.28e+00,
-9.264000e-05,-1.28e+00,
-9.262000e-05,-1.28e+00,
-9.260000e-05,-1.28e+00,
-9.258000e-05,-1.28e+00,
-9.256000e-05,-1.28e+00,
-9.254000e-05,-1.28e+00,
-9.252000e-05,-1.36e+00,
-9.250000e-05,-1.36e+00,
-9.248000e-05,-1.28e+00,
-9.246000e-05,-1.36e+00,
-9.244000e-05,-1.36e+00,
-9.242000e-05,-1.36e+00,
-9.240000e-05,-1.36e+00,
-9.238000e-05,-1.36e+00,
-9.236000e-05,-1.36e+00,
-9.234000e-05,-1.36e+00,
-9.232000e-05,-1.36e+00,
-9.230000e-05,-1.36e+00,
-9.228000e-05,-1.36e+00,
-9.226000e-05,-1.36e+00,
-9.224000e-05,-1.36e+00,
-9.222000e-05,-1.36e+00,
-9.220000e-05,-1.36e+00,
-9.218000e-05,-1.36e+00,
-9.216000e-05,-1.36e+00,
-9.214000e-05,-1.36e+00,
-9.212000e-05,-1.36e+00,
-9.210000e-05,-1.36e+00,
-9.208000e-05,-1.40e+00,
-9.206000e-05,-1.40e+00,
-9.204000e-05,-1.40e+00,
-9.202000e-05,-1.40e+00,
-9.200000e-05,-1.40e+00,
-9.198000e-05,-1.40e+00,
-9.196000e-05,-1.40e+00,
-9.194000e-05,-1.40e+00,
-9.192000e-05,-1.40e+00,
-9.190000e-05,-1.40e+00,
-9.188000e-05,-1.40e+00,
-9.186000e-05,-1.40e+00,
-9.184000e-05,-1.40e+00,
-9.182000e-05,-1.40e+00,
-9.180000e-05,-1.40e+00,
-9.178000e-05,-1.40e+00,
-9.176000e-05,-1.40e+00,
-9.174000e-05,-1.44e+00,
-9.172000e-05,-1.40e+00,
-9.170000e-05,-1.44e+00,
-9.168000e-05,-1.44e+00,
-9.166000e-05,-1.44e+00,
-9.164000e-05,-1.44e+00,
-9.162000e-05,-1.44e+00,
-9.160000e-05,-1.44e+00,
-9.158000e-05,-1.44e+00,
-9.156000e-05,-1.44e+00,
-9.154000e-05,-1.44e+00,
-9.152000e-05,-1.44e+00,
-9.150000e-05,-1.44e+00,
-9.148000e-05,-1.44e+00,
-9.146000e-05,-1.44e+00,
-9.144000e-05,-1.44e+00,
-9.142000e-05,-1.44e+00,
-9.140000e-05,-1.44e+00,
-9.138000e-05,-1.44e+00,
-9.136000e-05,-1.44e+00,
-9.134000e-05,-1.44e+00,
-9.132000e-05,-1.48e+00,
-9.130000e-05,-1.48e+00,
-9.128000e-05,-1.48e+00,
-9.126000e-05,-1.48e+00,
-9.124000e-05,-1.48e+00,
-9.122000e-05,-1.48e+00,
-9.120000e-05,-1.48e+00,
-9.118000e-05,-1.48e+00,
-9.116000e-05,-1.48e+00,
-9.114000e-05,-1.48e+00,
-9.112000e-05,-1.48e+00,
-9.110000e-05,-1.48e+00,
-9.108000e-05,-1.48e+00,
-9.106000e-05,-1.48e+00,
-9.104000e-05,-1.48e+00,
-9.102000e-05,-1.48e+00,
-9.100000e-05,-1.48e+00,
-9.098000e-05,-1.48e+00,
-9.096000e-05,-1.48e+00,
-9.094000e-05,-1.48e+00,
-9.092000e-05,-1.48e+00,
-9.090000e-05,-1.48e+00,
-9.088000e-05,-1.48e+00,
-9.086000e-05,-1.48e+00,
-9.084000e-05,-1.52e+00,
-9.082000e-05,-1.52e+00,
-9.080000e-05,-1.52e+00,
-9.078000e-05,-1.52e+00,
-9.076000e-05,-1.52e+00,
-9.074000e-05,-1.52e+00,
-9.072000e-05,-1.52e+00,
-9.070000e-05,-1.52e+00,
-9.068000e-05,-1.52e+00,
-9.066000e-05,-1.52e+00,
-9.064000e-05,-1.52e+00,
-9.062000e-05,-1.52e+00,
-9.060000e-05,-1.52e+00,
-9.058000e-05,-1.52e+00,
-9.056000e-05,-1.52e+00,
-9.054000e-05,-1.52e+00,
-9.052000e-05,-1.52e+00,
-9.050000e-05,-1.52e+00,
-9.048000e-05,-1.52e+00,
-9.046000e-05,-1.52e+00,
-9.044000e-05,-1.52e+00,
-9.042000e-05,-1.52e+00,
-9.040000e-05,-1.52e+00,
-9.038000e-05,-1.56e+00,
-9.036000e-05,-1.52e+00,
-9.034000e-05,-1.56e+00,
-9.032000e-05,-1.56e+00,
-9.030000e-05,-1.56e+00,
-9.028000e-05,-1.56e+00,
-9.026000e-05,-1.56e+00,
